ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
2727,Lewes (Breakwater Harbour),United States,"Breakwater Harbor, Delaware, USA",38.7972786,-75.14377759999999,,United States,done
6777,Likiep Atoll,Marshall Islands,"Likiep Atoll, RMI",9.9,169.133333,,Marshall Islands,done
3310A,Lewis Bay,Labrador,"Lewis, League City, TX 77573, USA",29.51273149999999,-95.0864903,League City,United States,done
5046,Liloan,Philippine Islands,"Liloan, Cebu, Philippines",10.412129,123.986149,Liloan,Philippines,done
2700A,Lewisetta,United States,"Lewisetta, VA 22511, USA",37.9979068,-76.46273029999999,Lewisetta,United States,done
2257,Limao,Brazil,"Limão, São Paulo - SP, Brazil",-23.507445,-46.6717412,,Brazil,done
1470B,"Leybucht, Leyhorn",Germany,"Leyhoern Nature Reserve, 26736 Krummhörn, Germany",53.5151984,7.058618699999999,Krummhörn,Germany,done
1984B,LIMASSOL,Cyprus,"Limassol, Cyprus",34.7071301,33.0226174,Limassol,Cyprus,done
1623,Lezardrieux,France,"22740 Lézardrieux, France",48.7864239,-3.1049,Lézardrieux,France,done
718,Limerick Dock,Ireland,"Limerick Docks, Dock Rd, Limerick, Ireland",52.65995059999999,-8.6379322,Limerick,Ireland,done
4804,Lhokseumawe,Sumatera North East Coast,"Lhokseumawe, Lhokseumawe City, Aceh, Indonesia",5.1811638,97.14132219999999,Lhokseumawe,Indonesia,done
3806,Limpopo River Bar,Mozambique,,,,,,not_found
1118,Linakhamari,Russia,"Linhammar, Murmansk Oblast, Russia, 184402",69.64140979999999,31.3568951,Linhammar,Russia,done
2455,Little Bay,Leeward Islands,"Little Bay, 354 Coradgery Rd, Peak Hill NSW 2869, Australia",-32.7466882,148.156221,Peak Hill,Australia,done
4929,Linapakan Island,Philippine Islands,"Linapacan Island, Linapacan, Philippines",11.4485393,119.8236554,Linapacan,Philippines,done
3189,Little Bay Arm,Newfoundland,"Little Bay Arm, Division No. 8, Subd. C, NL, Canada",49.5847018,-55.9435249,,Canada,done
2291,Linden,Guyana,"Linden, NJ, USA",40.6220478,-74.24459019999999,Linden,United States,done
321,Little Bernera,Scotland,"Little Bernera, United Kingdom",58.26666669999999,-6.8666667,,United Kingdom,done
3986,Lindi,Tanzania,"Four Tower Bridge, 200 Barr Harbor Dr #400, Conshohocken, PA 19428, USA",40.0694283,-75.309339,Conshohocken,United States,done
2761,Little Gull Island,United States,"Little Gull Island, Southold, NY 11957, USA",41.20628860000001,-72.10699369999999,,United States,done
1977,Lindos,Grecian Archipelago,"Lindos 851 07, Greece",36.0918486,28.0856654,Lindos,Greece,done
0492B,Little Haven,Wales,"Little Haven, Haverfordwest SA62, UK",51.773974,-5.107201,Little Haven,United Kingdom,done
3811,Linga-Linga,Mozambique,"Linga, VIC 3509, Australia",-35.1701837,141.697594,Linga,Australia,done
2532,Little Inagua,Bahama Islands,"Little Inagua Island, The Bahamas",21.5065195,-73.0051055,,The Bahamas,done
5251,LINGKAS,Kalimantan,"Lingkas, Karang Anyar, Tarakan Bar., Kota Tarakan, Kalimantan Timur, Indonesia",3.312652,117.591003,Lingkas,Indonesia,done
6033,Little Patonga,Australia East Coast,"Little Patonga Beach, Patonga NSW 2256, Australia",-33.5631942,151.2636644,Patonga,Australia,done
5306,Lingkobu,Sulawesi East Coast,,,,,,not_found
3450,Little Pendulum Island,Greenland East Coast,"Little Pendulum Island, Greenland",74.6666667,-18.4666667,,Greenland,done
1164,Lingoya,Norway,"República de Nicaragua 65 67, Centro, 06050 Ciudad de México, CDMX, Mexico",19.4406956,-99.12988399999999,Ciudad de México,Mexico,done
74,Littlehampton,England,"Littlehampton, UK",50.811057,-0.5386609,Littlehampton,United Kingdom,done
1435A,Linnenplate,Germany,"Linnenplate, Germany",54.2366667,8.7275,,Germany,done
8626,Lituya Bay,Alaska,"Lituya Bay, Alaska 99826, USA",58.63911849999999,-137.572079,,United States,done
5402,Linteh,Flores,,,,,,not_found
7286,Liuhe Kou,China,"Liuhe Kou, Taicang, Suzhou, China",31.5211111,121.2952778,Suzhou,China,done
1865,Lipari,Italy,"98050 Lipari, Province of Messina, Italy",38.464842,14.9540868,Lipari,Italy,done
2067,Lively Settlement,Falkland Islands,"Lively Settlement, Lively FIQQ 1ZZ, Falkland Islands (Islas Malvinas)",-51.98333299999999,-58.45,Lively,Falkland Islands (Islas Malvinas),done
5255,Lirung,Kalimantan,"Langtang Lirung, Langtang 45000, Nepal",28.2558333,85.5175,Langtang,Nepal,done
451,LIVERPOOL (GLADSTONE DOCK),England,"Bootle L20, UK",53.4511485,-3.0180967,,United Kingdom,done
2322,LISAS POINT,Trinidad,"Couva-Tabaquite-Talparo, Trinidad and Tobago",10.4077455,-61.4924377,,Trinidad and Tobago,done
2702,Liverpool Point,United States,"Liverpool Point, Nanjemoy, MD 20662, USA",38.4640115,-77.26914730000001,,United States,done
1741,LISBON,Portugal,"Lisbon, Portugal",38.7222524,-9.1393366,Lisbon,Portugal,done
2923,"Liverpool, Nova Scotia",Canada,"Liverpool, NS, Canada",44.0329772,-64.7176783,Liverpool,Canada,done
711,Liscannor,Ireland,"Liscannor, Co. Clare, Ireland",52.9383667,-9.3922452,Liscannor,Ireland,done
1852,LIVORNO (LEGHORN),Italy,"Livorno, Province of Livorno, Italy",43.548473,10.3105674,Livorno,Italy,done
8661,Lisianski Inlet,Chicagof Island,"Lot 17, Sunnyside, Pelican, AK 99832, United States",57.984267,-136.258192,Pelican,United States,done
